description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
"""The directed killing of a target cell by a T cell through the release of granules containing cytotoxic mediators or through the engagement of death receptors."" [GOC:add, GOC:pr, ISBN:0781735149, PMID:11911826]",21026,10682,6,"[['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",T cell mediated cytotoxicity,GO:0001913,0.004997590076716371,"['GO:0001909', 'GO:0002456']",0.039735099337748346,query_1,151,0.10714285714285714,True,GO:BP,56,528,14
"""A transmembrane protein complex composed of a MHC class I alpha chain and an invariant beta2-microglobin chain, and with or without a bound peptide antigen. Class I here refers to classical class I molecules."" [GOC:add, GOC:jl, ISBN:0120781859, ISBN:0781735149]",22149,37964,3,"[['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",MHC class I protein complex,GO:0042612,0.006282689111350703,['GO:0042611'],0.01935483870967742,query_1,155,0.375,True,GO:CC,8,1774,5
"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",22149,36599,65,"[['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['TAS', 'IEA'], [], ['IDA', 'ISS', 'IBA', 'NAS', 'IEA'], [], [], [], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], [], ['TAS', 'IEA'], [], ['IDA', 'TAS', 'IEA'], [], ['IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IEA'], ['TAS'], [], [], ['IDA', 'IBA', 'TAS'], ['NAS', 'IEA'], ['IDA', 'ISS', 'IEA'], [], ['IBA'], [], [], [], [], ['IEA'], ['TAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], [], ['IDA', 'IEA'], [], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], [], [], [], ['IDA', 'IMP', 'IEA'], [], [], [], [], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'ISO', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IEA'], [], [], [], [], [], ['ISS', 'IBA', 'TAS', 'IEA'], [], [], [], ['IDA', 'NAS'], [], [], ['IBA', 'TAS', 'IEA'], [], [], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], [], ['IBA', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], [], [], ['IEA'], [], [], ['IBA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], [], [], [], [], ['IBA', 'IEA'], [], ['IBA'], [], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], ['IDA', 'TAS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], ['IDA', 'IEA'], [], [], [], [], ['IDA', 'IBA', 'TAS', 'IEA'], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], ['TAS'], ['IDA'], ['IBA', 'NAS'], ['TAS'], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], ['ISS', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], [], [], ['IDA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], [], [], [], ['IEA'], [], ['IDA'], ['TAS', 'IEA'], ['IEA'], ['TAS'], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], ['ISS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], [], ['IDA'], [], [], []]",plasma membrane,GO:0005886,0.007079276362832278,"['GO:0016020', 'GO:0071944']",0.41935483870967744,query_1,155,0.011080804636890556,True,GO:CC,5866,409,3
"""A vacuole to which materials ingested by endocytosis are delivered."" [ISBN:0198506732, PMID:19696797]",22149,36513,21,"[['TAS', 'IEA'], ['IEA'], ['IBA', 'IEA'], [], [], ['IEA'], [], [], [], [], ['IBA', 'IEA'], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS'], ['TAS'], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], ['IEA'], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], ['NAS'], [], [], [], [], [], [], [], ['IDA', 'IEA'], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['NAS'], ['IDA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",endosome,GO:0005768,0.0077005389174527724,"['GO:0012505', 'GO:0031410']",0.13548387096774195,query_1,155,0.019390581717451522,True,GO:CC,1083,323,8
"""Binding to TAP protein, transporter associated with antigen processing protein. TAP protein is a heterodimeric peptide transporter consisting of the subunits TAP1 and TAP2."" [PMID:11133832]",20246,5739,3,"[['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",TAP binding,GO:0046977,0.009985215038972291,['GO:0005515'],0.020134228187919462,query_1,149,0.42857142857142855,True,GO:MF,7,5739,2
Asthma,8484,40694,4,"[[], ['KEGG'], ['KEGG'], [], [], [], [], [], [], [], ['KEGG'], [], [], ['KEGG'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Asthma,KEGG:05310,0.010648531757636718,['KEGG:00000'],0.04878048780487805,query_1,82,0.14814814814814814,True,KEGG,27,481,28
"""Any process that modulates the frequency, rate or extent of T cell proliferation."" [GOC:jl]",21026,20046,9,"[[], [], ['IMP'], [], [], [], [], [], [], [], ['IMP'], [], [], ['IMP'], [], [], [], ['IMP'], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of T cell proliferation,GO:0042129,0.010961867252133611,"['GO:0042098', 'GO:0050670', 'GO:0050863']",0.059602649006622516,query_1,151,0.049723756906077346,True,GO:BP,181,9892,12
"""The aggregation, arrangement and bonding together of a set of components to form an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",21026,11072,4,"[[], [], ['IBA'], [], [], [], [], [], [], [], ['IBA'], [], [], ['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",MHC protein complex assembly,GO:0002396,0.012053653955634699,['GO:0065003'],0.026490066225165563,query_1,151,0.2222222222222222,True,GO:BP,18,918,13
"""The binding of a peptide to the antigen binding groove of an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",21026,11176,4,"[[], [], ['IBA'], [], [], [], [], [], [], [], ['IBA'], [], [], ['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",peptide antigen assembly with MHC protein complex,GO:0002501,0.012053653955634699,"['GO:0002396', 'GO:0048002', 'GO:0065003']",0.026490066225165563,query_1,151,0.2222222222222222,True,GO:BP,18,1022,13
"""A vesicle with a coat formed of the COPII coat complex proteins. The COPII coat complex is formed by the Sec23p/Sec24p and the Sec13p/Sec31p heterodimers. COPII-associated vesicles transport proteins from the rough endoplasmic reticulum to the Golgi apparatus (anterograde transport)."" [PMID:11252894, PMID:17499046, PMID:22160157, PMID:8004676, Wikipedia:COPII]",22149,37075,6,"[['TAS', 'IEA'], [], ['TAS'], [], [], [], [], [], [], [], ['TAS'], [], [], ['TAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['TAS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",COPII-coated ER to Golgi transport vesicle,GO:0030134,0.014002139795923668,['GO:0030135'],0.03870967741935484,query_1,155,0.06666666666666667,True,GO:CC,90,885,6
"""Any process that modulates the frequency, rate or extent of lymphocyte proliferation."" [GOC:ai]",21026,23187,10,"[[], [], ['IMP'], [], [], [], [], [], [], [], ['IMP'], [], [], ['IMP'], [], [], [], ['IMP'], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of lymphocyte proliferation,GO:0050670,0.014274337292753063,"['GO:0032944', 'GO:0046651', 'GO:0051249']",0.06622516556291391,query_1,151,0.04219409282700422,True,GO:BP,237,13033,12
"""The process in which an antigen-presenting cell expresses peptide antigen in association with an MHC protein complex on its cell surface, including proteolysis and transport steps for the peptide antigen both prior to and following assembly with the MHC protein complex. The peptide antigen is typically, but not always, processed from an endogenous or exogenous protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",21026,22447,6,"[['IDA', 'IBA', 'IEA'], [], ['IMP', 'IBA'], [], [], [], [], [], [], [], ['IDA', 'IMP', 'IBA'], [], [], ['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IMP', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",antigen processing and presentation of peptide antigen,GO:0048002,0.01569537759968635,['GO:0019882'],0.039735099337748346,query_1,151,0.08823529411764706,True,GO:BP,68,12293,13
"""Any process that modulates the frequency, rate, or extent of T cell mediated immunity."" [GOC:add]",21026,11379,7,"[['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of T cell mediated immunity,GO:0002709,0.016950051359904354,"['GO:0002456', 'GO:0002706', 'GO:0002822']",0.046357615894039736,query_1,151,0.0673076923076923,True,GO:BP,104,1225,14
"""Any process that modulates the frequency, rate or extent of mononuclear cell proliferation."" [GOC:add]",21026,18026,10,"[[], [], ['IMP'], [], [], [], [], [], [], [], ['IMP'], [], [], ['IMP'], [], [], [], ['IMP'], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], ['ISS', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of mononuclear cell proliferation,GO:0032944,0.017129094852907967,"['GO:0032943', 'GO:0070663']",0.06622516556291391,query_1,151,0.04132231404958678,True,GO:BP,242,7872,12
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,11004,41967,9,"[['REAC'], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], ['REAC'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,REAC:R-HSA-198933,0.017393980062968807,['REAC:R-HSA-1280218'],0.09,query_1,100,0.04945054945054945,True,REAC,182,1184,30
"""Any process that stops, prevents, or reduces the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",21026,23234,9,"[['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['NAS'], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",negative regulation of immune response,GO:0050777,0.022572650045671612,"['GO:0002683', 'GO:0006955', 'GO:0048585', 'GO:0050776']",0.059602649006622516,query_1,151,0.045454545454545456,True,GO:BP,198,13080,15
"""Any process that modulates the frequency, rate or extent of cell killing, the process in which a cell brings about the death of another cell, either in the same or a different organism."" [GOC:mah]",21026,17247,7,"[['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of cell killing,GO:0031341,0.023074816647464344,"['GO:0001906', 'GO:0050794']",0.046357615894039736,query_1,151,0.06422018348623854,True,GO:BP,109,7093,17
"""A cellular component consisting of one leaflet of a membrane bilayer and any proteins embedded or anchored in it or attached to its surface."" [GOC:dos]",22149,39309,16,"[['IBA', 'TAS', 'IEA'], [], ['TAS'], [], [], [], [], [], [], [], ['TAS'], [], [], ['IDA', 'TAS'], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IMP'], [], [], [], [], ['IBA', 'TAS', 'IEA'], ['IBA'], [], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], ['IDA', 'ISS', 'IBA', 'IEA'], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'NAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA', 'TAS', 'IEA'], [], [], ['IDA'], [], [], [], [], [], [], ['IDA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",side of membrane,GO:0098552,0.02452641392483899,"['GO:0016020', 'GO:0110165']",0.1032258064516129,query_1,155,0.021447721179624665,True,GO:CC,746,3119,3
"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]",21026,23233,20,"[['IDA', 'IBA'], [], ['IBA'], [], [], [], [], ['IMP'], [], [], ['IDA', 'IBA'], [], [], ['IDA', 'IBA'], [], [], [], [], [], [], ['IBA', 'IEA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IBA'], ['IDA', 'IBA'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], [], [], [], [], [], ['IMP', 'IEA'], [], [], [], [], [], [], ['IEA'], [], [], [], [], [], ['IDA', 'IBA', 'NAS', 'IEA'], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], ['NAS'], [], [], [], [], [], [], [], [], ['IMP'], ['IBA', 'NAS'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], ['IDA'], [], [], [], ['IDA', 'IBA', 'IEA'], [], [], [], [], [], [], [], [], ['ISS', 'TAS', 'IEA'], [], [], [], [], [], ['IDA', 'IMP'], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of immune response,GO:0050776,0.025168515413251685,"['GO:0002682', 'GO:0006955', 'GO:0048583']",0.13245033112582782,query_1,151,0.021119324181626188,True,GO:BP,947,13079,15
